   Time             I1                VP1               V3              
 8.026300000E-001  3.792290270E+000  3.719397200E+000  4.998517602E-001 
 8.026400000E-001  3.796246530E+000  3.719199002E+000  4.998517584E-001 
 8.026500000E-001  3.799913164E+000  3.719015264E+000  4.998517565E-001 
 8.026600000E-001  3.803275700E+000  3.718846711E+000  4.998517546E-001 
 8.026700000E-001  3.806320870E+000  3.718694009E+000  4.998517527E-001 
 8.026800000E-001  3.809036655E+000  3.718557759E+000  4.998517508E-001 
 8.026900000E-001  3.811412337E+000  3.718438499E+000  4.998517489E-001 
 8.027000000E-001  3.813438539E+000  3.718336701E+000  4.998517470E-001 
 8.027100000E-001  3.815107267E+000  3.718252766E+000  4.998517451E-001 
 8.027200000E-001  3.816411934E+000  3.718187025E+000  4.998517433E-001 
 8.027300000E-001  3.817347391E+000  3.718139738E+000  4.998517414E-001 
 8.027400000E-001  3.817909946E+000  3.718111091E+000  4.998517395E-001 
 8.027500000E-001  3.818097380E+000  3.718101197E+000  4.998517376E-001 
 8.027600000E-001  3.817908951E+000  3.718110096E+000  4.998517357E-001 
 8.027700000E-001  3.817345405E+000  3.718137752E+000  4.998517338E-001 
 8.027800000E-001  3.816408965E+000  3.718184056E+000  4.998517319E-001 
 8.027900000E-001  3.815103327E+000  3.718248825E+000  4.998517300E-001 
 8.028000000E-001  3.813433643E+000  3.718331805E+000  4.998517281E-001 
 8.028100000E-001  3.811406503E+000  3.718432666E+000  4.998517262E-001 
 8.028200000E-001  3.809029908E+000  3.718551012E+000  4.998517243E-001 
 8.028300000E-001  3.806313237E+000  3.718686375E+000  4.998517224E-001 
 8.028400000E-001  3.803267210E+000  3.718838220E+000  4.998517206E-001 
 8.028500000E-001  3.799903850E+000  3.719005950E+000  4.998517187E-001 
 8.028600000E-001  3.796236429E+000  3.719188901E+000  4.998517168E-001 
 8.028700000E-001  3.792279422E+000  3.719386352E+000  4.998517149E-001 
 8.028800000E-001  3.788048446E+000  3.719597523E+000  4.998517130E-001 
 8.028900000E-001  3.783560198E+000  3.719821582E+000  4.998517111E-001 
 8.029000000E-001  3.778832390E+000  3.720057643E+000  4.998517093E-001 
 8.029100000E-001  3.773883681E+000  3.720304775E+000  4.998517074E-001 
 8.029200000E-001  3.768733602E+000  3.720562003E+000  4.998517055E-001 
 8.029300000E-001  3.763402479E+000  3.720828312E+000  4.998517036E-001 
 8.029400000E-001  3.757911349E+000  3.721102651E+000  4.998517018E-001 
 8.029500000E-001  3.752281884E+000  3.721383936E+000  4.998516999E-001 
 8.029600000E-001  3.746536301E+000  3.721671058E+000  4.998516981E-001 
 8.029700000E-001  3.740697276E+000  3.721962885E+000  4.998516962E-001 
 8.029800000E-001  3.734787852E+000  3.722258263E+000  4.998516943E-001 
 8.029900000E-001  3.728831351E+000  3.722556027E+000  4.998516925E-001 
 8.030000000E-001  3.722851281E+000  3.722855003E+000  4.998516906E-001 
 8.030100000E-001  3.716871242E+000  3.723154010E+000  4.998516888E-001 
 8.030200000E-001  3.710914835E+000  3.723451868E+000  4.998516869E-001 
 8.030300000E-001  3.705005566E+000  3.723747402E+000  4.998516851E-001 
 8.030400000E-001  3.699166758E+000  3.724039445E+000  4.998516833E-001 
 8.030500000E-001  3.693421453E+000  3.724326845E+000  4.998516814E-001 
 8.030600000E-001  3.687792325E+000  3.724608468E+000  4.998516796E-001 
 8.030700000E-001  3.682301590E+000  3.724883201E+000  4.998516778E-001 
 8.030800000E-001  3.676970918E+000  3.725149962E+000  4.998516759E-001 
 8.030900000E-001  3.671821346E+000  3.725407696E+000  4.998516741E-001 
 8.031000000E-001  3.666873197E+000  3.725655388E+000  4.998516723E-001 
 8.031100000E-001  3.662145998E+000  3.725892059E+000  4.998516705E-001 
 8.031200000E-001  3.657658407E+000  3.726116775E+000  4.998516687E-001 
 8.031300000E-001  3.653428134E+000  3.726328650E+000  4.998516668E-001 
 8.031400000E-001  3.649471874E+000  3.726526847E+000  4.998516650E-001 
 8.031500000E-001  3.645805239E+000  3.726710584E+000  4.998516632E-001 
 8.031600000E-001  3.642442702E+000  3.726879137E+000  4.998516614E-001 
 8.031700000E-001  3.639397532E+000  3.727031839E+000  4.998516596E-001 
 8.031800000E-001  3.636681746E+000  3.727168088E+000  4.998516578E-001 
 8.031900000E-001  3.634306064E+000  3.727287347E+000  4.998516560E-001 
 8.032000000E-001  3.632279861E+000  3.727389144E+000  4.998516542E-001 
 8.032100000E-001  3.630611133E+000  3.727473079E+000  4.998516524E-001 
 8.032200000E-001  3.629306465E+000  3.727538819E+000  4.998516506E-001 
 8.032300000E-001  3.628371008E+000  3.727586106E+000  4.998516488E-001 
 8.032400000E-001  3.627808452E+000  3.727614753E+000  4.998516470E-001 
 8.032500000E-001  3.627621018E+000  3.727624646E+000  4.998516452E-001 
 8.032600000E-001  3.627809446E+000  3.727615746E+000  4.998516434E-001 
 8.032700000E-001  3.628372991E+000  3.727588090E+000  4.998516416E-001 
 8.032800000E-001  3.629309431E+000  3.727541785E+000  4.998516398E-001 
 8.032900000E-001  3.630615069E+000  3.727477015E+000  4.998516380E-001 
 8.033000000E-001  3.632284751E+000  3.727394035E+000  4.998516362E-001 
 8.033100000E-001  3.634311891E+000  3.727293173E+000  4.998516344E-001 
 8.033200000E-001  3.636688485E+000  3.727174827E+000  4.998516326E-001 
 8.033300000E-001  3.639405156E+000  3.727039464E+000  4.998516308E-001 
 8.033400000E-001  3.642451182E+000  3.726887617E+000  4.998516290E-001 
 8.033500000E-001  3.645814542E+000  3.726719887E+000  4.998516272E-001 
 8.033600000E-001  3.649481962E+000  3.726536936E+000  4.998516254E-001 
 8.033700000E-001  3.653438968E+000  3.726339484E+000  4.998516236E-001 
 8.033800000E-001  3.657669944E+000  3.726128312E+000  4.998516217E-001 
 8.033900000E-001  3.662158192E+000  3.725904254E+000  4.998516199E-001 
 8.034000000E-001  3.666885999E+000  3.725668192E+000  4.998516181E-001 
 8.034100000E-001  3.671834707E+000  3.725421059E+000  4.998516163E-001 
 8.034200000E-001  3.676984786E+000  3.725163830E+000  4.998516145E-001 
 8.034300000E-001  3.682315909E+000  3.724897521E+000  4.998516127E-001 
 8.034400000E-001  3.687807038E+000  3.724623182E+000  4.998516108E-001 
 8.034500000E-001  3.693436502E+000  3.724341896E+000  4.998516090E-001 
 8.034600000E-001  3.699182084E+000  3.724054773E+000  4.998516072E-001 
 8.034700000E-001  3.705021109E+000  3.723762946E+000  4.998516053E-001 
 8.034800000E-001  3.710930533E+000  3.723467567E+000  4.998516035E-001 
 8.034900000E-001  3.716887033E+000  3.723169802E+000  4.998516016E-001 
 8.035000000E-001  3.722867102E+000  3.722870826E+000  4.998515998E-001 
 8.035100000E-001  3.728847141E+000  3.722571818E+000  4.998515980E-001 
 8.035200000E-001  3.734803548E+000  3.722273960E+000  4.998515961E-001 
 8.035300000E-001  3.740712816E+000  3.721978425E+000  4.998515943E-001 
 8.035400000E-001  3.746551623E+000  3.721686382E+000  4.998515924E-001 
