   Time             Iac2              Iac1              Vac1              Vac2            
 8.002150000E-001 -3.812752336E-003  1.954887807E-003  3.982768937E+000  3.983355013E+000 
 8.002160000E-001 -3.830045614E-003  1.968327723E-003  3.982772193E+000  3.983351867E+000 
 8.002170000E-001 -3.847261620E-003  1.980254183E-003  3.982775457E+000  3.983348707E+000 
 8.002180000E-001 -3.864400355E-003  1.990587251E-003  3.982778728E+000  3.983345533E+000 
 8.002190000E-001 -3.881462263E-003  1.999241661E-003  3.982782003E+000  3.983342345E+000 
 8.002200000E-001 -3.898446455E-003  2.006133926E-003  3.982785281E+000  3.983339143E+000 
 8.002210000E-001 -3.915352043E-003  2.011180555E-003  3.982788559E+000  3.983335927E+000 
 8.002220000E-001 -3.932179027E-003  2.014305167E-003  3.982791837E+000  3.983332698E+000 
 8.002230000E-001 -3.948927851E-003  2.015422496E-003  3.982795111E+000  3.983329456E+000 
 8.002240000E-001 -3.965318296E-003  2.014346023E-003  3.982798379E+000  3.983326198E+000 
 8.002250000E-001 -3.979605090E-003  2.013067046E-003  3.982801642E+000  3.983322930E+000 
 8.002260000E-001 -3.992362441E-003  2.011756095E-003  3.982804902E+000  3.983319656E+000 
 8.002270000E-001 -4.003132048E-003  2.010406064E-003  3.982808157E+000  3.983316375E+000 
 8.002280000E-001 -4.011992072E-003  2.009013400E-003  3.982811408E+000  3.983313090E+000 
 8.002290000E-001 -4.019023336E-003  2.007581656E-003  3.982814653E+000  3.983309801E+000 
 8.002300000E-001 -4.024304889E-003  2.006107280E-003  3.982817894E+000  3.983306512E+000 
 8.002310000E-001 -4.027917555E-003  2.004593824E-003  3.982821130E+000  3.983303223E+000 
 8.002320000E-001 -4.029942602E-003  2.003039512E-003  3.982824362E+000  3.983299937E+000 
 8.002330000E-001 -4.030461298E-003  2.001444344E-003  3.982827588E+000  3.983296653E+000 
 8.002340000E-001 -4.029555356E-003  1.999810095E-003  3.982830810E+000  3.983293375E+000 
 8.002350000E-001 -4.027308265E-003  1.998134991E-003  3.982834027E+000  3.983290103E+000 
 8.002360000E-001 -4.023802624E-003  1.996417254E-003  3.982837238E+000  3.983286838E+000 
 8.002370000E-001 -4.019121480E-003  1.994660437E-003  3.982840445E+000  3.983283582E+000 
 8.002380000E-001 -4.013349209E-003  1.992864540E-003  3.982843647E+000  3.983280336E+000 
 8.002390000E-001 -4.006568854E-003  1.991026011E-003  3.982846844E+000  3.983277099E+000 
 8.002400000E-001 -3.998865683E-003  1.989148402E-003  3.982850035E+000  3.983273875E+000 
 8.002410000E-001 -3.990322739E-003  1.987229936E-003  3.982853222E+000  3.983270662E+000 
 8.002420000E-001 -3.981026175E-003  1.985272391E-003  3.982856403E+000  3.983267463E+000 
 8.002430000E-001 -3.971059925E-003  1.983273989E-003  3.982859579E+000  3.983264277E+000 
 8.002440000E-001 -3.960508810E-003  1.981236508E-003  3.982862750E+000  3.983261105E+000 
 8.002450000E-001 -3.949458094E-003  1.979156394E-003  3.982865916E+000  3.983257947E+000 
 8.002460000E-001 -3.937993043E-003  1.977038977E-003  3.982869076E+000  3.983254804E+000 
 8.002470000E-001 -3.926198922E-003  1.974878927E-003  3.982872231E+000  3.983251677E+000 
 8.002480000E-001 -3.914160107E-003  1.972681574E-003  3.982875380E+000  3.983248564E+000 
 8.002490000E-001 -3.901961421E-003  1.970441588E-003  3.982878525E+000  3.983245467E+000 
 8.002500000E-001 -3.889688571E-003  1.968164298E-003  3.982881663E+000  3.983242386E+000 
 8.002510000E-001 -3.877426380E-003  1.965846153E-003  3.982884797E+000  3.983239320E+000 
 8.002520000E-001 -3.865258780E-003  1.963487151E-003  3.982887924E+000  3.983236269E+000 
 8.002530000E-001 -3.853270591E-003  1.961089069E-003  3.982891047E+000  3.983233233E+000 
 8.002540000E-001 -3.841545748E-003  1.958651907E-003  3.982894163E+000  3.983230211E+000 
 8.002550000E-001 -3.830167294E-003  1.956175666E-003  3.982897274E+000  3.983227204E+000 
 8.002560000E-001 -3.819220940E-003  1.953656792E-003  3.982900380E+000  3.983224211E+000 
 8.002570000E-001 -3.808788396E-003  1.951102391E-003  3.982903479E+000  3.983221230E+000 
 8.002580000E-001 -3.798952708E-003  1.948505357E-003  3.982906573E+000  3.983218263E+000 
 8.002590000E-001 -3.789796477E-003  1.945871020E-003  3.982909661E+000  3.983215307E+000 
 8.002600000E-001 -3.781402302E-003  1.943195826E-003  3.982912744E+000  3.983212362E+000 
 8.002610000E-001 -3.773851009E-003  1.940481553E-003  3.982915820E+000  3.983209427E+000 
 8.002620000E-001 -3.767223422E-003  1.937729976E-003  3.982918891E+000  3.983206501E+000 
 8.002630000E-001 -3.761600809E-003  1.934935767E-003  3.982921956E+000  3.983203583E+000 
 8.002640000E-001 -3.757063105E-003  1.932104254E-003  3.982925015E+000  3.983200672E+000 
 8.002650000E-001 -3.753688915E-003  1.929233662E-003  3.982928068E+000  3.983197767E+000 
 8.002660000E-001 -3.751557287E-003  1.926323989E-003  3.982931115E+000  3.983194866E+000 
 8.002670000E-001 -3.750746380E-003  1.923375237E-003  3.982934156E+000  3.983191969E+000 
 8.002680000E-001 -3.751333466E-003  1.920387405E-003  3.982937191E+000  3.983189073E+000 
 8.002690000E-001 -3.753394928E-003  1.917362269E-003  3.982940220E+000  3.983186177E+000 
